Performance;Random forest (skinnonskin);Decision Tree(skinnonskin);K Nearest Neoghbor (skinnonskin);Logistics (skinnonskin);Random forest (Sum  Without Noise );Decision Tree(Sum  Without Noise);K Nearest Neoghbor (Sum  Without Noise);Logistics (Sum  Without Noise)
f1_macro;0.996234871;0.997739522;0.997580165;0.879125776;0.979029312;0.999729535;0.686607113;0.496963062
f1_weighted;0.997523278;0.998515515;0.998402966;0.919999219;0.999959009;0.999995886;0.991665468;0.90363491
precision_macro;0.994780047;0.997296993;0.996243081;0.874002637;0.978315428;0.999519231;0.680685308;0.611527955
recall_macro;0.997711803;0.998188141;0.998933997;0.884624715;0.979816514;0.999944568;0.692853123;0.457325253
accuracy;0.997519199;0.998514661;0.998400389;0.919431332;0.999966948;0.999995868;0.99262913;0.914925183
;
Rank;Random forest (skinnonskin);Decision Tree(skinnonskin);K Nearest Neoghbor (skinnonskin);Logistics (skinnonskin);Random forest (Sum  Without Noise );Decision Tree(Sum  Without Noise);K Nearest Neoghbor (Sum  Without Noise);Logistics (Sum  Without Noise)
f1_macro;3;1;2;4;2;1;3;4
f1_weighted;3;1;2;4;2;1;3;4
precision_macro;3;1;2;4;2;1;3;4
recall_macro;3;2;1;4;2;1;3;4
accuracy;3;1;2;4;2;1;3;4
;
Rank Frequency;Random forest;Decision Tree;K Nearest Neoghbor ;Logistics ;
Rank 1;0;9;1;0;
Rank 2;0;1;4;0;
Rank 3;5;0;5;0;
Rank 4;0;0;0;10;
;
;
;
;
;
;
;Novel Algorithm;Random forest;
;Baseline Algorithm 1;Decision Tree;
;Baseline Algorithm 2;K Nearest Neighbor - 6;
;Baseline Algorithm 3;Logistics ;
;Dataset 1;Skin-noskin;
;Dataset 2;Sum dataset(Without Noise);
;Common Metric 1;f1_macro;
;Common Metric 2;f1_weighted;
;Common Metric 3;precision_macro;
;Common Metric 4;recall_macro;
;Common Metric 5;accuracy;
;Made Up Metric 1;None;
;Made Up Metric 2;None;
